id;customer_id;username;password;email;mobile_number;aadhaar_number;address;contact_information;registration_date;is_active
1;failing often;"YyMx";crowded down yum;"H@x_B].?0(4";"2791004173";"195286663072";bashfully;prestigious unnecessarily duh;2025-07-12T02:35:43;true
2;hm democratize plus;"eGN";successfully considering ugh;"5V@bOjpP.TF9|'";"9520710942";"113577229236";along outrageous blend;birth even;2025-07-11T18:50:18;false
3;amid across instead;"OPK";afterwards;"IcB@Na`#1E.`8";"1864272666";"131537929267";alongside;through why plus;2025-07-11T17:36:30;true
4;lest;"HXX";misappropriate about even;"e+5@L4.q";"9662701005";"780118509233";enraged;freely;2025-07-11T19:35:12;false
5;though quarrelsomely utterly;"Kged";hawk provided near;"}qe@4q!0KS.xlS";"8239857867";"299973757498";storyboard;whoever catalyze troubled;2025-07-11T20:06:07;false
6;fun;"mmsR";vice where;"vC)J[@d9B<0.J1.n";"0599431777";"913784455227";fortunately meh with;up redound worth;2025-07-11T16:37:59;true
7;immediate out moment;"iZuPQ";delirious;"d]+`x@d]#Gh.Bhj;";"2173964659";"304005496915";pace gosh interesting;gadzooks past or;2025-07-11T21:15:23;false
8;pleased considering plus;"nyX";yippee broadly;"n|18~[@{R.~~O";"0935494280";"351958206239";quit minus;programme;2025-07-11T19:31:41;false
9;bah;"avgyWs";rally courtroom;"g@$oz9G.nTQ}J";"8820021266";"527731713768";ha;submitter;2025-07-12T02:10:56;true
10;whenever misjudge;"lMX";cheese yuck;"}e(mj@LQ&.=o";"2459794644";"500839996982";oh;lumpy;2025-07-11T09:12:23;false
