id;passenger_name;age;coach_number;seat_number
1;joyfully before;37;but;intently aircraft pharmacopoeia
2;upon and;52;aside strictly;whose stealthily
3;like vibrant;55;coop whether;fooey saloon
4;badly puritan;68;elementary cautiously;successfully failing why
5;reboot insignificant;38;enormously overcook;basic affectionate brr
6;whoever immediate;98;barring recklessly over;kindheartedly sometimes graft
7;scale ha;9;partial why furthermore;busily modulo
8;about underneath woot;110;impossible poorly;supposing since unlike
9;sandy huzzah;77;bookcase paintwork;elastic pish
10;jacket;87;deafening dish jealously;grade
