id;payment_id;transaction_id;receipt_number;transaction_date;transaction_type;transaction_amount;transaction_status;card_number;expiry_date;cvv;cardholder_name
1;duh;popularity decision;drat save amend;2025-07-11T21:26:03;DEBIT;28524.65;SUCCESS;"9578697064140191";over considering;"853";yawn
2;bulky;boss anti corner;state;2025-07-11T14:16:40;DEBIT;6789.22;PENDING;"9011554552632035";within cutlet;"727";disarm emphasize weighty
3;out;afore amid yearly;worthy institutionalize joshingly;2025-07-11T17:37:38;CREDIT;9999.45;FAILED;"4026151618954996";near indeed clone;"450";within loudly
4;regarding above since;tremendously consequently accomplished;flickering;2025-07-11T14:48:08;DEBIT;17254.43;FAILED;"5935108386597770";notwithstanding rapid;"594";pish though
5;morbidity;aw;corrupt;2025-07-11T17:30:45;CREDIT;10041.44;PENDING;"3270933989818640";suddenly draft gee;"418";hotfoot
6;openly miserably;substantial;nearly;2025-07-11T22:07:25;DEBIT;28926.97;FAILED;"7338195542357199";even;"277";immediately judgementally motionless
7;than patiently which;before;till;2025-07-12T06:02:24;DEBIT;25779.4;SUCCESS;"1169468498739481";round;"310";ha
8;um tusk when;academics;reproachfully;2025-07-12T01:26:04;CREDIT;15640.15;PENDING;"6996026041379113";abaft;"308";reluctantly
9;whether coordinated;galoshes ha surprised;on pace;2025-07-11T23:18:38;CREDIT;6214.77;SUCCESS;"3500716931909373";fuss phooey;"190";consequently
10;mushy give after;psst viciously via;instantly;2025-07-11T22:55:17;DEBIT;3720.61;FAILED;"8094630891076820";drat gah but;"806";solidly
